Wochentag;Datum;Startzeit;Tage Saison;Max Kap;davon freie Kap;Auslastung %;Gesamt;MGL Gesa.;Gäste;Jugend;MGL 18-40;MGL 40-50;MGL 50-65;MGL 65+;Sperrung.;Internet
Do;01.04.21;18:00 - 18:10;;4;0;1;4;4;0;0;2;1;1;0;0;4
Fr;02.04.21;08:50 - 09:00;;4;0;1;4;4;0;1;1;0;2;0;0;3
Fr;02.04.21;10:50 - 11:00;;4;0;1;4;4;0;0;0;0;0;4;0;3
Fr;02.04.21;11:30 - 11:40;;4;0;1;4;4;0;0;0;0;2;2;0;4
Fr;02.04.21;11:40 - 11:50;;4;0;1;4;4;0;2;0;1;1;0;0;4
Fr;02.04.21;12:50 - 13:00;;4;0;1;4;4;0;0;3;0;1;0;0;4
Fr;02.04.21;13:10 - 13:20;;4;0;1;4;4;0;0;2;0;2;0;0;4
Fr;02.04.21;13:30 - 13:40;;4;0;1;4;4;0;0;0;0;0;4;0;4
Fr;02.04.21;15:30 - 15:40;;4;0;1;4;4;0;2;0;1;1;0;0;4
Fr;02.04.21;16:30 - 16:40;;4;0;1;4;4;0;0;1;0;3;0;0;4
Fr;02.04.21;17:40 - 17:50;;4;0;1;4;4;0;0;2;0;1;1;0;3
Sa;03.04.21;10:50 - 11:00;;4;0;1;4;4;0;0;0;0;0;4;0;2
Sa;03.04.21;11:50 - 12:00;;4;0;1;4;4;0;0;0;0;0;4;0;0
Sa;03.04.21;12:50 - 13:00;;4;0;1;4;4;0;1;1;1;1;0;0;4
Sa;03.04.21;13:00 - 13:10;;4;0;1;4;3;1;0;0;0;0;3;0;4
Sa;03.04.21;14:00 - 14:10;;4;0;1;4;3;1;0;1;0;1;1;0;4
Sa;03.04.21;15:30 - 15:40;;4;0;1;4;4;0;2;0;1;1;0;0;4
Sa;03.04.21;17:20 - 17:30;;4;0;1;4;4;0;1;1;0;2;0;0;4
So;04.04.21;09:10 - 09:20;;4;0;1;4;4;0;1;1;0;2;0;0;3
So;04.04.21;10:20 - 10:30;;4;0;1;4;4;0;0;0;0;2;2;0;4
So;04.04.21;11:00 - 11:10;;4;0;1;4;4;0;1;1;0;2;0;0;3
So;04.04.21;12:00 - 12:10;;4;0;1;4;4;0;0;0;0;0;4;0;4
So;04.04.21;13:00 - 13:10;;4;0;1;4;3;1;0;0;0;3;0;0;4
So;04.04.21;13:40 - 13:50;;4;0;1;4;4;0;1;1;0;2;0;0;3
So;04.04.21;15:00 - 15:10;;4;0;1;4;3;1;0;0;0;0;3;0;3
Mo;05.04.21;15:20 - 15:30;;4;0;1;4;4;0;2;0;1;1;0;0;4
Mo;05.04.21;16:20 - 16:30;;4;0;1;4;3;1;0;1;0;1;1;0;3
Mo;05.04.21;16:30 - 16:40;;4;0;1;4;3;1;0;1;0;1;1;0;4
Fr;09.04.21;11:50 - 12:00;;4;0;1;4;4;0;0;0;0;0;4;0;2
Fr;09.04.21;12:10 - 12:20;;4;0;1;4;3;1;0;0;0;0;3;0;4
Fr;09.04.21;12:30 - 12:40;;4;0;1;4;4;0;0;0;0;0;4;0;4
Fr;09.04.21;12:40 - 12:50;;4;0;1;4;4;0;1;1;1;1;0;0;3
Fr;09.04.21;13:00 - 13:10;;4;0;1;4;4;0;0;0;0;0;4;0;3
Fr;09.04.21;14:10 - 14:20;;4;0;1;4;4;0;2;0;2;0;0;0;4
