Wochentag,Max Kap,davon freie Kap,Auslastung %,Gesamt,MGL Gesa.,Gäste,Jugend,MGL 18-40,MGL 40-50,MGL 50-65,MGL 65+,Sperrung.,Internet,time,Auslastung Gesamt,Auslastung Gäste,Auslastung MGL Gesa.,Auslastung MGL Jugend,Auslastung MGL 18-40,Auslastung MGL 40-50,Auslastung MGL 50-65,Auslastung MGL 65+,Jahr,Monat,Tag,Weekend,Stunde,Minute,Saison,monat_text
Do,4,0,1.0,4,4,0,0,2,1,1,0,0,4,18:00,1.0,0.0,1.0,0.0,0.5,0.25,0.25,0.0,2021,4,1,False,18,0,April - Mai,Apr
Fr,4,0,1.0,4,4,0,1,1,0,2,0,0,3,08:50,1.0,0.0,1.0,0.25,0.25,0.0,0.5,0.0,2021,4,2,False,8,50,April - Mai,Apr
Fr,4,0,1.0,4,4,0,0,0,0,0,4,0,3,10:50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,2,False,10,50,April - Mai,Apr
Fr,4,0,1.0,4,4,0,0,0,0,2,2,0,4,11:30,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2021,4,2,False,11,30,April - Mai,Apr
Fr,4,0,1.0,4,4,0,2,0,1,1,0,0,4,11:40,1.0,0.0,1.0,0.5,0.0,0.25,0.25,0.0,2021,4,2,False,11,40,April - Mai,Apr
Fr,4,0,1.0,4,4,0,0,3,0,1,0,0,4,12:50,1.0,0.0,1.0,0.0,0.75,0.0,0.25,0.0,2021,4,2,False,12,50,April - Mai,Apr
Fr,4,0,1.0,4,4,0,0,2,0,2,0,0,4,13:10,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,2021,4,2,False,13,10,April - Mai,Apr
Fr,4,0,1.0,4,4,0,0,0,0,0,4,0,4,13:30,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,2,False,13,30,April - Mai,Apr
Fr,4,0,1.0,4,4,0,2,0,1,1,0,0,4,15:30,1.0,0.0,1.0,0.5,0.0,0.25,0.25,0.0,2021,4,2,False,15,30,April - Mai,Apr
Fr,4,0,1.0,4,4,0,0,1,0,3,0,0,4,16:30,1.0,0.0,1.0,0.0,0.25,0.0,0.75,0.0,2021,4,2,False,16,30,April - Mai,Apr
Fr,4,0,1.0,4,4,0,0,2,0,1,1,0,3,17:40,1.0,0.0,1.0,0.0,0.5,0.0,0.25,0.25,2021,4,2,False,17,40,April - Mai,Apr
Sa,4,0,1.0,4,4,0,0,0,0,0,4,0,2,10:50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,3,True,10,50,April - Mai,Apr
Sa,4,0,1.0,4,4,0,0,0,0,0,4,0,0,11:50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,3,True,11,50,April - Mai,Apr
Sa,4,0,1.0,4,4,0,1,1,1,1,0,0,4,12:50,1.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0,2021,4,3,True,12,50,April - Mai,Apr
Sa,4,0,1.0,4,3,1,0,0,0,0,3,0,4,13:00,1.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,2021,4,3,True,13,0,April - Mai,Apr
Sa,4,0,1.0,4,3,1,0,1,0,1,1,0,4,14:00,1.0,0.25,0.75,0.0,0.25,0.0,0.25,0.25,2021,4,3,True,14,0,April - Mai,Apr
Sa,4,0,1.0,4,4,0,2,0,1,1,0,0,4,15:30,1.0,0.0,1.0,0.5,0.0,0.25,0.25,0.0,2021,4,3,True,15,30,April - Mai,Apr
Sa,4,0,1.0,4,4,0,1,1,0,2,0,0,4,17:20,1.0,0.0,1.0,0.25,0.25,0.0,0.5,0.0,2021,4,3,True,17,20,April - Mai,Apr
So,4,0,1.0,4,4,0,1,1,0,2,0,0,3,09:10,1.0,0.0,1.0,0.25,0.25,0.0,0.5,0.0,2021,4,4,True,9,10,April - Mai,Apr
So,4,0,1.0,4,4,0,0,0,0,2,2,0,4,10:20,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2021,4,4,True,10,20,April - Mai,Apr
So,4,0,1.0,4,4,0,1,1,0,2,0,0,3,11:00,1.0,0.0,1.0,0.25,0.25,0.0,0.5,0.0,2021,4,4,True,11,0,April - Mai,Apr
So,4,0,1.0,4,4,0,0,0,0,0,4,0,4,12:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,4,True,12,0,April - Mai,Apr
So,4,0,1.0,4,3,1,0,0,0,3,0,0,4,13:00,1.0,0.25,0.75,0.0,0.0,0.0,0.75,0.0,2021,4,4,True,13,0,April - Mai,Apr
So,4,0,1.0,4,4,0,1,1,0,2,0,0,3,13:40,1.0,0.0,1.0,0.25,0.25,0.0,0.5,0.0,2021,4,4,True,13,40,April - Mai,Apr
So,4,0,1.0,4,3,1,0,0,0,0,3,0,3,15:00,1.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,2021,4,4,True,15,0,April - Mai,Apr
Mo,4,0,1.0,4,4,0,2,0,1,1,0,0,4,15:20,1.0,0.0,1.0,0.5,0.0,0.25,0.25,0.0,2021,4,5,False,15,20,April - Mai,Apr
Mo,4,0,1.0,4,3,1,0,1,0,1,1,0,3,16:20,1.0,0.25,0.75,0.0,0.25,0.0,0.25,0.25,2021,4,5,False,16,20,April - Mai,Apr
Mo,4,0,1.0,4,3,1,0,1,0,1,1,0,4,16:30,1.0,0.25,0.75,0.0,0.25,0.0,0.25,0.25,2021,4,5,False,16,30,April - Mai,Apr
Fr,4,0,1.0,4,4,0,0,0,0,0,4,0,2,11:50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,9,False,11,50,April - Mai,Apr
Fr,4,0,1.0,4,3,1,0,0,0,0,3,0,4,12:10,1.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,2021,4,9,False,12,10,April - Mai,Apr
Fr,4,0,1.0,4,4,0,0,0,0,0,4,0,4,12:30,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,9,False,12,30,April - Mai,Apr
Fr,4,0,1.0,4,4,0,1,1,1,1,0,0,3,12:40,1.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0,2021,4,9,False,12,40,April - Mai,Apr
Fr,4,0,1.0,4,4,0,0,0,0,0,4,0,3,13:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,9,False,13,0,April - Mai,Apr
Fr,4,0,1.0,4,4,0,2,0,2,0,0,0,4,14:10,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,2021,4,9,False,14,10,April - Mai,Apr
Fr,4,0,1.0,4,4,0,0,0,0,2,2,0,3,15:40,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2021,4,9,False,15,40,April - Mai,Apr
So,4,0,1.0,4,4,0,0,0,2,2,0,0,4,09:10,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,2021,4,11,True,9,10,April - Mai,Apr
So,4,0,1.0,4,4,0,0,0,0,0,4,0,4,10:10,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,11,True,10,10,April - Mai,Apr
So,4,0,1.0,4,3,1,0,0,0,0,3,0,4,10:30,1.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,2021,4,11,True,10,30,April - Mai,Apr
So,4,0,1.0,4,4,0,0,0,0,0,4,0,4,11:30,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,11,True,11,30,April - Mai,Apr
So,4,0,1.0,4,4,0,2,0,1,1,0,0,4,12:10,1.0,0.0,1.0,0.5,0.0,0.25,0.25,0.0,2021,4,11,True,12,10,April - Mai,Apr
So,4,0,1.0,4,4,0,0,0,0,1,3,0,4,13:50,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.75,2021,4,11,True,13,50,April - Mai,Apr
So,4,0,1.0,4,4,0,0,0,0,0,4,0,2,15:20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,11,True,15,20,April - Mai,Apr
Mo,4,0,1.0,4,4,0,2,0,1,1,0,0,4,14:50,1.0,0.0,1.0,0.5,0.0,0.25,0.25,0.0,2021,4,12,False,14,50,April - Mai,Apr
Mo,4,0,1.0,4,3,1,1,0,1,1,0,0,4,16:50,1.0,0.25,0.75,0.25,0.0,0.25,0.25,0.0,2021,4,12,False,16,50,April - Mai,Apr
Di,4,0,1.0,4,4,0,0,4,0,0,0,0,0,13:30,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2021,4,13,False,13,30,April - Mai,Apr
Di,4,0,1.0,4,4,0,0,0,0,0,4,0,4,14:40,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,13,False,14,40,April - Mai,Apr
Di,4,0,1.0,4,4,0,2,0,1,1,0,0,4,14:50,1.0,0.0,1.0,0.5,0.0,0.25,0.25,0.0,2021,4,13,False,14,50,April - Mai,Apr
Do,4,0,1.0,4,4,0,0,0,0,0,4,0,0,09:50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,15,False,9,50,April - Mai,Apr
Do,4,0,1.0,4,4,0,0,0,0,0,4,0,0,10:30,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,15,False,10,30,April - Mai,Apr
